w0,wa,chi2_sne,chi2_bao
-1.8,-2.5,1948.651181121348,2896.0215051035348
-1.776271186440678,-2.5,1935.5132845813243,2834.175117304454
-1.752542372881356,-2.5,1922.428858679326,2772.1191592162622
-1.728813559322034,-2.5,1909.4026778524371,2709.8666122022446
-1.7050847457627119,-2.5,1896.4396660795933,2647.431320955059
-1.68135593220339,-2.5,1883.544900730724,2584.82803814414
-1.6576271186440679,-2.5,1870.7236164914698,2522.0724711859034
-1.6338983050847458,-2.5,1857.9812093630353,2459.1813312247796
-1.6101694915254239,-2.5,1845.3232407364483,2396.1723844158087
-1.5864406779661018,-2.5,1832.755441540343,2333.0645056016087
-1.5627118644067797,-2.5,1820.2837164611399,2269.877734478871
-1.5389830508474578,-2.5,1807.914148234091,2206.633334351357
-1.5152542372881357,-2.5,1795.653002003573,2143.353853568447
-1.4915254237288136,-2.5,1783.5067297505022,2080.0631897497105
-1.4677966101694917,-2.5,1771.4819747845272,2016.7866568973473
-1.4440677966101696,-2.5,1759.5855762982264,1953.551055499473
-1.4203389830508475,-2.5,1747.824573980189,1890.3847457277147
-1.3966101694915256,-2.5,1736.2062126834085,1827.3177238327762
-1.3728813559322035,-2.5,1724.7379471450001,1764.3817018415825
-1.3491525423728814,-2.5,1713.4274467527532,1701.6101906583099
-1.3254237288135595,-2.5,1702.2826003535652,1639.038586670411
-1.3016949152542374,-2.5,1691.3115210982635,1576.7042619582612
-1.2779661016949153,-2.5,1680.5225513167577,1514.6466582039118
-1.2542372881355934,-2.5,1669.9242674168738,1452.9073843903268
-1.2305084745762713,-2.5,1659.5254847996541,1391.5303183773285
-1.2067796610169492,-2.5,1649.3352627831975,1330.5617124339487
-1.1830508474576273,-2.5,1639.3629095265185,1270.050302799312
-1.1593220338983052,-2.5,1629.6179869441146,1210.0474233348675
-1.1355932203389831,-2.5,1620.110315601381,1150.6071233199723
-1.1118644067796613,-2.5,1610.8499795800017,1091.7862894301775
-1.0881355932203391,-2.5,1601.8473313019533,1033.6447719235907
-1.064406779661017,-2.5,1593.1129962997786,976.2455150422057
-1.0406779661016952,-2.5,1584.6578779201052,919.6546916192306
-1.016949152542373,-2.5,1576.4931619463866,863.9418418589728
-0.993220338983051,-2.5,1568.6303211262991,809.1800162334446
-0.969491525423729,-2.5,1561.0811195880117,755.4459224130582
-0.945762711864407,-2.5,1553.8576171290563,702.8200761179504
-0.9220338983050849,-2.5,1546.9721733603824,651.3869557447032
-0.8983050847457629,-2.5,1540.4374516875546,601.2351605862852
-0.8745762711864409,-2.5,1534.2664231100136,552.4575724238033
-0.8508474576271188,-2.5,1528.472369818669,505.1515202255215
-0.8271186440677968,-2.5,1523.0688885711504,459.4189476420291
-0.8033898305084748,-2.5,1518.0698938233038,415.3665829364411
-0.7796610169491527,-2.5,1513.4896205947962,373.10611093478275
-0.7559322033898306,-2.5,1509.3426270458642,332.75434652473234
-0.7322033898305087,-2.5,1505.6437967416668,294.43340917058845
-0.7084745762711866,-2.5,1502.4083405799847,258.27089784892155
-0.6847457627118645,-2.5,1499.6517983574124,224.40006574340057
-0.6610169491525426,-2.5,1497.3900399487068,192.95999396876988
-0.6372881355932205,-2.5,1495.6392660734246,164.09576352391719
-0.6135593220338984,-2.5,1494.4160086235224,137.95862460258368
-0.5898305084745765,-2.5,1493.737130525341,114.70616231863517
-0.5661016949152544,-2.5,1493.619825108977,94.50245783166066
-0.5423728813559323,-2.5,1494.0816149579114,77.51824378914655
-0.5186440677966104,-2.5,1495.1403502115186,63.931052934766896
-0.4949152542372883,-2.5,1496.8142062930747,53.925358669843696
-0.4711864406779662,-2.5,1499.1216810357248,47.69270629831828
